setting_id,group_config,signal,env_id,status_old,converged_old,rhat_old,ess_old,runtime_old,status_new,converged_new,rhat_new,ess_new,runtime_new
1,G10x5,concentrated,E0,error,False,1.03409662057008,421.0068296086942,10.50675489999412,error,False,3.3961302406165483,349.28831089231227,9.27271330000076
2,G10x5,distributed,E0,ok,True,1.0088779165356432,2125.973044690706,10.665457099996274,ok,True,1.0115860280688458,695.553533677248,2.77019090000249
3,G10x5,boundary,E0,ok,True,1.0192467177200952,393.8401835472867,10.679870799998753,ok,True,1.0073856613987968,355.518291207224,9.26842829999805
4,G10x5,concentrated,RW_PLUS,error,False,1.4054131506859493,693.4099204766503,10.815416199999165,error,False,1.1708722049258138,385.25312049229785,9.146083699997687
5,G10x5,distributed,RW_PLUS,error,False,1.033094240876362,97.2722501210401,10.61932259999594,error,False,1.2868016510241476,60.8352108057197,9.217788299996757
6,G10x5,boundary,RW_PLUS,ok,True,1.0110647413361702,422.6509265193848,10.671969800001534,ok,True,1.0040229647073289,456.8594647088905,10.369228399998974
7,G10x5,concentrated,RB_PLUS,error,False,1.4592346257797528,373.8581529535536,10.813424799998756,error,False,1.5871644795448645,394.085856830405,9.28726689999894
8,G10x5,distributed,RB_PLUS,ok,True,1.0212210845071708,171.16808580241494,10.832011300000886,error,False,5.604561110716125,208.24744653868876,9.274558699995396
9,G10x5,concentrated,SNR_PLUS,ok,True,1.0089381881062784,465.520705398989,10.79514119999658,ok,True,1.0169313109075842,121.8374041349598,2.7874710999967647
10,G10x5,distributed,SNR_PLUS,error,False,1.0486713534649066,88.95428820037922,10.804034700006014,error,False,1.0410749738366245,152.23755479684044,9.220288799995616
11,CL,concentrated,E0,error,False,1.08584627382706,242.52246076945164,10.737478700000793,error,False,1.075692361073537,187.30291835727533,9.09901639999589
12,CL,distributed,E0,ok,True,1.0226155811395117,138.22035882695718,2.689460199995665,ok,True,1.0283017879168084,207.0306500838434,2.7713345999945886
13,CL,boundary,E0,error,False,1.027908681818225,97.34023194024108,10.988089899998158,ok,True,1.0230900643396397,142.12053226381326,9.316517899998871
14,CL,concentrated,RW_PLUS,error,False,1.1081829670869574,440.1959406180056,10.872505200000887,error,False,1.399888796161599,365.9990248298189,9.1349979000006
15,CL,distributed,RW_PLUS,error,False,1.0876273316804197,75.64303433364584,10.835223899994162,error,False,1.1007041937145243,65.39007796101684,9.180784399999538
16,CL,boundary,RW_PLUS,ok,True,1.0220722746049702,254.28909282819004,10.85400180000579,ok,True,1.0273913440509044,389.3920497625764,9.291430800003582
17,CL,concentrated,RB_PLUS,error,False,1.1099075957211977,151.7922071809112,10.799131100000524,error,False,1.1008410774380546,123.42762801166506,9.157709999999495
18,CL,distributed,RB_PLUS,ok,True,1.0230058044566503,390.61801184116655,11.758107100002237,ok,True,1.0183986030274388,326.1711902263222,9.211795900002471
19,CL,concentrated,SNR_PLUS,ok,True,1.0274743221916425,196.5564251413141,10.92889770000329,error,False,1.026094554047174,115.78422861673504,9.057798900001217
20,CL,distributed,SNR_PLUS,error,False,1.0473392928994811,671.2029990884043,11.045144699994124,ok,True,1.0155973848686146,374.6859256466952,9.22073900000396
21,CS,concentrated,E0,ok,True,1.0028492486558864,626.9247690863516,2.771970699999656,ok,True,1.018335740662469,797.36490847106,2.790854499995476
22,CS,distributed,E0,error,False,1.1019061756082031,487.7196313872405,10.88699269999779,ok,True,1.0158001259530758,125.52578003988616,2.76273940000101
23,CS,boundary,E0,ok,True,1.007883369984692,554.8221910124653,10.90807969999878,ok,True,1.0032224080122158,316.4128961255306,9.27734789999522
24,CS,concentrated,RW_PLUS,ok,True,1.0214301852456793,675.1612375503873,10.77218189999985,ok,True,1.0105241483481038,822.0691069016394,9.29060120000213
25,CS,distributed,RW_PLUS,ok,True,1.0185235321731625,317.96902088161704,2.688477399999101,ok,True,1.0092758644379416,258.87348077509495,2.796848499994667
26,CS,boundary,RW_PLUS,ok,True,1.0084175857312982,396.827793416478,2.6740049,ok,True,1.0207816162414516,270.0854188079899,2.749613799998769
27,CS,concentrated,RB_PLUS,ok,True,1.0071376164046302,579.7543181195167,2.643020000003162,ok,True,1.0029959326184965,810.6915014306222,2.743638599997212
28,CS,distributed,RB_PLUS,ok,True,1.0015704159587786,683.5347231377071,10.665296899998792,ok,True,1.023318409029896,252.95009048092132,2.7867487000039546
29,CS,concentrated,SNR_PLUS,ok,True,1.0112594050514656,743.0739396314001,2.63405590000184,ok,True,1.0026583275178582,741.2793806862262,2.776975000000675
30,CS,distributed,SNR_PLUS,ok,True,1.0155702820094026,198.75672352614225,2.8156336000029114,ok,True,1.0059894995688277,243.75136266670432,2.8076753999994253
