task_index,n_tasks,setting_id,group_config,signal,env_id,method,status,converged,fit_attempts,runtime_seconds,rhat_max,bulk_ess_min,divergence_ratio,error
1,72,1,G10x5,concentrated,RW08_SNR02,GR_RHS,ok,True,1,19.544965799999773,1.0087159872055054,633.0850984741834,0.0,
2,72,1,G10x5,concentrated,RW08_SNR02,RHS,ok,True,1,14.265778999993927,1.0089356507459981,650.2826038686383,0.0,
3,72,1,G10x5,concentrated,RW08_SNR02,GIGG_MMLE,error,False,3,711.4145159000036,1.1702433367930962,54479.26116408927,,ConvergenceError: GIGG_MMLE did not converge after 3 attempt(s)
4,72,1,G10x5,concentrated,RW08_SNR02,GHS_plus,ok,True,1,9.0259451999882,1.0034376383614825,1591.6155742351864,,
5,72,2,G10x5,distributed,RW08_SNR02,GR_RHS,ok,True,1,14.180376900010742,1.004650592803955,944.4924731821345,0.0005,
6,72,2,G10x5,distributed,RW08_SNR02,RHS,ok,True,1,15.48505629999272,1.009861041833579,409.9788640254852,0.0,
7,72,2,G10x5,distributed,RW08_SNR02,GIGG_MMLE,error,False,3,719.2929575000016,5.354909989641843,18904.937719858695,,ConvergenceError: GIGG_MMLE did not converge after 3 attempt(s)
8,72,2,G10x5,distributed,RW08_SNR02,GHS_plus,ok,True,1,9.560878499993123,1.0038176660207077,1242.9875654799057,,
9,72,3,G10x5,concentrated,RW08_SNR10,GR_RHS,ok,True,2,33.24893259999226,1.0050997734069824,1106.9437144759816,0.00025,
10,72,3,G10x5,concentrated,RW08_SNR10,RHS,ok,True,1,16.49026099999901,1.0085593018999932,654.90087629055,0.0,
11,72,3,G10x5,concentrated,RW08_SNR10,GIGG_MMLE,error,False,3,716.5139710999938,1.1549526504292857,13275.312935469006,,ConvergenceError: GIGG_MMLE did not converge after 3 attempt(s)
12,72,3,G10x5,concentrated,RW08_SNR10,GHS_plus,ok,True,1,9.533388299998478,1.0019067705369138,2788.0612471886616,,
13,72,4,G10x5,distributed,RW08_SNR10,GR_RHS,ok,True,1,18.64901570000802,1.0104892253875732,540.5502115412306,0.0,
14,72,4,G10x5,distributed,RW08_SNR10,RHS,ok,True,2,43.823013200002606,1.0065021434242556,740.6715145854015,0.0,
15,72,4,G10x5,distributed,RW08_SNR10,GIGG_MMLE,error,False,3,701.9511425999954,3.1209567812216834,2222.780580351728,,ConvergenceError: GIGG_MMLE did not converge after 3 attempt(s)
16,72,4,G10x5,distributed,RW08_SNR10,GHS_plus,ok,True,1,10.120532899993123,1.0025063337993956,1898.2800231620065,,
17,72,5,G10x5,concentrated,RW08_SNR50,GR_RHS,ok,True,1,21.5924173000094,1.0045387744903564,522.8593398217184,0.0,
18,72,5,G10x5,concentrated,RW08_SNR50,RHS,ok,True,1,25.31614370000898,1.0092678133216808,864.0755493254845,0.0,
19,72,5,G10x5,concentrated,RW08_SNR50,GIGG_MMLE,ok,True,1,152.06191770000441,1.0108176125252555,2747.4249150150945,,
20,72,5,G10x5,concentrated,RW08_SNR50,GHS_plus,ok,True,1,6.561783800003468,1.002887527520775,2279.3832915377457,,
21,72,6,G10x5,distributed,RW08_SNR50,GR_RHS,ok,True,1,18.767890500006615,1.0043449401855469,487.3578269538967,0.0025,
22,72,6,G10x5,distributed,RW08_SNR50,RHS,ok,True,2,66.03262620000169,1.0037747279638676,1231.6204073227955,0.0,
23,72,6,G10x5,distributed,RW08_SNR50,GIGG_MMLE,ok,True,1,142.88405229999626,1.0021491465103294,9434.949149532677,,
24,72,6,G10x5,distributed,RW08_SNR50,GHS_plus,ok,True,1,7.3395597000053385,1.0014286871078402,3490.200345360086,,
25,72,7,CL,concentrated,RW08_SNR02,GR_RHS,ok,True,1,13.331074000001536,1.007673740386963,685.2798340407351,0.0025,
26,72,7,CL,concentrated,RW08_SNR02,RHS,ok,True,2,22.79135060000408,1.0068282203389762,1365.3812726495473,0.0,
27,72,7,CL,concentrated,RW08_SNR02,GIGG_MMLE,error,False,3,791.1602839999978,1.1256497252646482,49538.67685756432,,ConvergenceError: GIGG_MMLE did not converge after 3 attempt(s)
28,72,7,CL,concentrated,RW08_SNR02,GHS_plus,ok,True,1,11.059098800003994,1.0028455277523796,3012.6493684368,,
29,72,8,CL,distributed,RW08_SNR02,GR_RHS,ok,True,1,16.9679071999999,1.0089184045791626,495.9621935728775,0.0005,
30,72,8,CL,distributed,RW08_SNR02,RHS,ok,True,3,99.08999569999287,1.0025699419051899,1543.6499572143111,0.0,
