setting_id,variant,alpha_kappa,beta_kappa,use_group_scale,status,converged,fit_attempts,runtime_seconds,rhat_max,bulk_ess_min,divergence_ratio,error,kappa_group_means,a_group_means
1,baseline,0.5,1.0,True,ok,True,1,31.283989299990935,1.0115256309509277,563.2875579867731,0.0009375,,"[0.013324, 0.021717, 0.280624, 0.451667, 0.654393]","[0.242884, 0.235974, 0.289667, 0.314861, 0.340054]"
1,no_ag,0.5,1.0,False,ok,True,1,19.9318140999967,1.0042093992233276,525.6089511211856,0.0009375,,"[0.003242, 0.009012, 0.273756, 0.445057, 0.654848]","[1.0, 1.0, 1.0, 1.0, 1.0]"
1,baseline,1.0,1.0,True,error,False,6,21.716307999988203,19993.9375,2.0001250192287072,1.0,ConvergenceError: GR_RHS did not converge after 6 attempt(s),,
1,no_ag,1.0,1.0,False,ok,True,1,19.917225700002746,1.002958059310913,557.7389954048082,0.0025,,"[0.0085, 0.020834, 0.304108, 0.473681, 0.679005]","[1.0, 1.0, 1.0, 1.0, 1.0]"
1,baseline,2.0,5.0,True,error,False,6,20.851389699993888,20275.34765625,2.0001250141957607,1.0,ConvergenceError: GR_RHS did not converge after 6 attempt(s),,
1,no_ag,2.0,5.0,False,ok,True,1,19.497733099997276,1.0054348707199097,728.0146053001863,0.000625,,"[0.023169, 0.041931, 0.276354, 0.409267, 0.588982]","[1.0, 1.0, 1.0, 1.0, 1.0]"
2,baseline,0.5,1.0,True,ok,True,1,31.2111331000051,1.0045806169509888,759.5724056258764,0.005,,"[0.036233, 0.063732, 0.517962, 0.742346, 0.88631]","[0.124705, 0.241307, 0.45409, 0.587465, 0.732238]"
2,no_ag,0.5,1.0,False,ok,True,1,24.351460599995335,1.0053606033325195,801.3686848188643,0.006875,,"[0.002431, 0.038942, 0.505276, 0.739483, 0.886966]","[1.0, 1.0, 1.0, 1.0, 1.0]"
2,baseline,1.0,1.0,True,error,False,6,17.361112700004014,48326.9609375,2.000125018526631,1.0,ConvergenceError: GR_RHS did not converge after 6 attempt(s),,
2,no_ag,1.0,1.0,False,ok,True,1,27.191608299996005,1.0042043924331665,884.8963444523685,0.0009375,,"[0.00556, 0.064024, 0.541897, 0.758656, 0.900555]","[1.0, 1.0, 1.0, 1.0, 1.0]"
2,baseline,2.0,5.0,True,error,False,6,13.075679899993702,17306.765625,2.0001250098908785,1.0,ConvergenceError: GR_RHS did not converge after 6 attempt(s),,
2,no_ag,2.0,5.0,False,ok,True,1,15.660126700007822,1.0041121244430542,978.9362046261747,0.00125,,"[0.009614, 0.080949, 0.421548, 0.593831, 0.759013]","[1.0, 1.0, 1.0, 1.0, 1.0]"
