xi,p_g,mean_prob_gt_u0,sd_prob_gt_u0
0.01238532110091743,30,0.49424936307583445,0.02116373592852664
0.020642201834862383,30,0.49421855948612875,0.021336964815446176
0.028899082568807334,30,0.49567949355244934,0.020882914099100987
0.03509174311926605,30,0.49997792256548407,0.022352057386140472
0.03922018348623853,30,0.4972428631387254,0.020040101099906046
0.043348623853211005,30,0.5000607723277983,0.020322347728172607
0.047477064220183475,30,0.501212754745858,0.02069851000878095
0.0536697247706422,30,0.5023444346222518,0.021024461869536062
0.061926605504587146,30,0.5026515903218558,0.02239060966857489
0.08256880733944953,30,0.5084527274591198,0.02294070337618957
0.01238532110091743,60,0.49542935060776644,0.026755527826941013
0.020642201834862383,60,0.49233757616442303,0.029927952245467616
0.028899082568807334,60,0.49843448551538316,0.03109517659449452
0.03509174311926605,60,0.4981968859294576,0.02695371504563003
0.03922018348623853,60,0.5027929165711261,0.03183092043938972
0.043348623853211005,60,0.5017477883071,0.029855904400685373
0.047477064220183475,60,0.5027727923322264,0.029627957831685068
0.0536697247706422,60,0.5078213774973368,0.027531180756642827
0.061926605504587146,60,0.5065321917551607,0.028236539602518807
0.08256880733944953,60,0.5121798328844797,0.028272226512451808
0.01238532110091743,120,0.4830271242691495,0.04316656070669533
0.020642201834862383,120,0.49146057173000757,0.041890181538287045
0.028899082568807334,120,0.4934427065890383,0.04152845468521481
0.03509174311926605,120,0.500032791727629,0.04087437314199431
0.03922018348623853,120,0.5048396966457372,0.04137104226926504
0.043348623853211005,120,0.4987285241570048,0.041368641151430324
0.047477064220183475,120,0.5124315658841232,0.038746709598206176
0.0536697247706422,120,0.5104090903341504,0.03842580953596735
0.061926605504587146,120,0.5099620596025723,0.0368543626097168
0.08256880733944953,120,0.5212431956392918,0.04239398024782987
